canonical_id,chart_type,confidence,source,why
alerts-config:active_rules,kpi_card,high,entity_type,
alerts-config:alert_history,table,high,entity_type,
alerts-config:alert_rules,table,high,entity_type,
alerts-config:alert_trend,line,medium,name:_trend,
alerts-config:critical_alerts,kpi_card,high,entity_type,
alerts-config:current_alerts,table,high,entity_type,
alerts-config:current_performance,table,high,entity_type,
alerts-config:notification_channels,table,high,entity_type,
alerts-config:percentile_baselines,line,low,llm,Baseline thresholds plotted across time/period for alerting
alerts-config:response_time,kpi_card,high,entity_type,
alerts-config:seasonal_factors,line,medium,llm,Seasonal multiplier pattern across cyclical time periods
alerts-config:warning_alerts,kpi_card,high,entity_type,
annual-planning:blended_roas,kpi_card,high,entity_type,
annual-planning:campaign_type,bar,medium,llm,Performance metric compared across campaign types
annual-planning:channel_efficiency,bar,medium,llm,Sharpe efficiency compared across channels
annual-planning:channel_revenue,bar,medium,llm,Revenue compared across channels
annual-planning:historical_annual,area,medium,llm,Stacked spend composition by channel over years
annual-planning:monthly_trend,line,medium,name:_trend,
annual-planning:projected_revenue,kpi_card,high,entity_type,
annual-planning:quarterly_roas,line,medium,llm,ROAS ratio trend per channel over quarters
annual-planning:seasonality,line,medium,llm,Seasonal coefficient cycle across ordered months
annual-planning:spend_buckets,line,medium,llm,Diminishing-returns response curve of ROAS vs spend
annual-planning:total_budget,kpi_card,high,entity_type,
annual-planning:yoy_change,kpi_card,high,entity_type,
annual-planning:yoy_growth,bar,low,llm,Growth rates compared across categories
attribution:assisted_conversions,grouped_bar,medium,name:vs_,
attribution:attribution_gap_trend,line,medium,name:_trend,
attribution:attribution_model_comparison,table,high,entity_type,
attribution:direct_blackhole,donut,low,llm,Share of unattributable direct traffic vs attributed
attribution:direct_share,kpi_card,high,entity_type,
attribution:ga4_magento_gap,kpi_card,high,entity_type,
attribution:google_gap,kpi_card,high,entity_type,
attribution:klaviyo_gap,kpi_card,high,entity_type,
attribution:meta_gap,kpi_card,high,entity_type,
attribution:path_length_distribution,bar,high,llm,Histogram of conversion path-length buckets
attribution:revenue_attribution_sankey,sankey,medium,name:sankey,
attribution:revenue_reconciliation,kpi_card,high,entity_type,
attribution:time_to_conversion,bar,medium,llm,Distribution of time-to-convert buckets
attribution:total_revenue,kpi_card,high,entity_type,
attribution:vtc_impact,bar,low,llm,View-through conversion contribution compared across channels
audience-performance:active_audiences,kpi_card,high,entity_type,
audience-performance:audience_conversions,kpi_card,high,entity_type,
audience-performance:audience_spend,kpi_card,high,entity_type,
audience-performance:audience_type_comparison,grouped_bar,medium,name:_comparison,
audience-performance:average_frequency,kpi_card,high,entity_type,
audience-performance:average_roas,kpi_card,high,entity_type,
audience-performance:custom_audience_performance,table,high,entity_type,
audience-performance:ga4_audiences,table,high,entity_type,
audience-performance:klaviyo_audiences,table,high,entity_type,
audience-performance:network_device_heatmap,heatmap,medium,name:heatmap,
audience-performance:reach_frequency_analysis,grouped_bar,medium,name:vs_,
audience-performance:saturation_curves,line,medium,name:_curve,
audience-performance:total_reach,kpi_card,high,entity_type,
audience-performance:user_list_performance,table,high,entity_type,
budget-pacing:budget_exhaustion,bar,low,llm,Days of budget runway per channel
budget-pacing:budget_reallocation,table,medium,llm,Recommendations list with reallocation amounts per channel
budget-pacing:daily_spend_trend,line,medium,name:_trend,
budget-pacing:historical_spend_trend,line,medium,name:_trend,
budget-pacing:month_end_projection,line,low,llm,Projected month-end revenue forecast trajectory
budget-pacing:month_end_revenue,line,low,llm,Cumulative revenue tracked over the month
budget-pacing:monthly_pacing,gauge,medium,name:pacing,
budget-pacing:pacing_alerts,gauge,medium,name:pacing,
budget-pacing:platform_pacing,gauge,medium,name:pacing,
budget-pacing:todays_pacing,gauge,medium,name:pacing,
budget-pacing:weekly_pacing,gauge,medium,name:pacing,
campaign-matrix:active_campaigns,kpi_card,high,entity_type,
campaign-matrix:average_roas,kpi_card,high,entity_type,
campaign-matrix:budget_at_risk,kpi_card,high,entity_type,
campaign-matrix:campaign_performance_table,table,high,entity_type,
campaign-matrix:hidden_gems,table,medium,llm,Detailed list of hidden-gem campaigns
campaign-matrix:klaviyo_campaigns,table,high,entity_type,
campaign-matrix:needs_attention,table,medium,llm,Detailed list of campaigns needing attention
campaign-matrix:optimize_cut,kpi_card,high,entity_type,
campaign-matrix:performance_matrix,heatmap,medium,name:matrix,
campaign-matrix:quadrant_summary,scatter,low,llm,Campaigns positioned in 2D quadrant matrix
campaign-matrix:roas_distribution,bar,high,llm,Histogram of ROAS value buckets
campaign-matrix:scale,kpi_card,high,entity_type,
campaign-matrix:scale_opportunity,kpi_card,high,entity_type,
campaign-matrix:test_kill,kpi_card,high,entity_type,
campaign-matrix:total_spend,kpi_card,high,entity_type,
campaign-matrix:winners,table,medium,llm,Detailed list of top campaigns
ceo-pulse:aov,kpi_card,high,entity_type,
ceo-pulse:conversion_rate,kpi_card,high,entity_type,
ceo-pulse:marketing_spend,line,low,llm,Marketing spend trend over time
ceo-pulse:orders,kpi_card,high,entity_type,
ceo-pulse:revenue,kpi_card,high,entity_type,
ceo-pulse:revenue_trend,line,medium,name:_trend,
ceo-pulse:roas,kpi_card,high,entity_type,
ceo-pulse:top_products,horizontal_bar,medium,llm,Top N products ranked by value
ceo-pulse:traffic_channels,donut,medium,llm,Channel share of total traffic
ceo-pulse:user_segments,grouped_bar,medium,name:vs_,
churn-analysis:avg_churn_probability,kpi_card,high,entity_type,
churn-analysis:churn_by_orders,bar,medium,llm,Churn rate per order-count bucket
churn-analysis:churn_risk_distribution,bar,medium,llm,Distribution of customers across risk tiers
churn-analysis:clv_at_risk,kpi_card,high,entity_type,
churn-analysis:high_risk_customers,kpi_card,high,entity_type,
churn-analysis:lifecycle_stages,bar,low,llm,Customer count per lifecycle stage
churn-analysis:next_order_window,bar,low,llm,Distribution of next-order time windows
churn-analysis:priority_customers_table,table,high,entity_type,
churn-analysis:unsubscribe_rate,kpi_card,high,entity_type,
churn-analysis:weekly_churn_trend,line,medium,name:_trend,
cohort-analysis:acquisition_source_table,table,high,entity_type,
cohort-analysis:avg_churn,kpi_card,high,entity_type,
cohort-analysis:avg_clv,kpi_card,high,entity_type,
cohort-analysis:avg_orders,kpi_card,high,entity_type,
cohort-analysis:churn_risk_distribution,heatmap,low,llm,Cohort by risk-tier 2D matrix
cohort-analysis:cohort_clv_trend,line,medium,name:_trend,
cohort-analysis:cohort_detail_table,table,high,entity_type,
cohort-analysis:cohort_retention_heatmap,heatmap,medium,name:heatmap,
cohort-analysis:cohort_size_trend,line,medium,name:_trend,
cohort-analysis:order_frequency_distribution,bar,medium,llm,Histogram of order-frequency buckets
cohort-analysis:repeat_rate,kpi_card,high,entity_type,
cohort-analysis:retention_curve_comparison,line,medium,name:_curve,
cohort-analysis:segment_distribution,grouped_bar,low,llm,Segments compared side-by-side across cohorts
cohort-analysis:top_states_by_ltv,horizontal_bar,high,llm,Top N states ranked by LTV
cohort-analysis:total_ltv,kpi_card,high,entity_type,
competitive:budget_lost,kpi_card,high,entity_type,
competitive:budget_opportunity,table,high,entity_type,
competitive:budget_vs_rank,grouped_bar,medium,name:vs_,
competitive:campaign_share,table,high,entity_type,
competitive:channel_share,bar,medium,llm,Ad position compared across channel types
competitive:impression_share_trend,line,medium,name:_trend,
competitive:impressions,kpi_card,high,entity_type,
competitive:performance_correlation,grouped_bar,medium,name:vs_,
competitive:rank_lost,kpi_card,high,entity_type,
competitive:top_position,line,low,llm,Top-position rate tracked over time
competitive:wow_change,bar,low,llm,Week-over-week position change delta per entity
creative-performance:active_ads,kpi_card,high,entity_type,
creative-performance:ad_strength_distribution,bar,medium,llm,Distribution across ordinal ad-strength ratings
creative-performance:avg_roas,kpi_card,high,entity_type,
creative-performance:blended_ctr,kpi_card,high,entity_type,
creative-performance:creative_fatigue_curve,line,medium,name:_curve,
creative-performance:creative_type_performance,bar,low,llm,Spend compared across creative types
creative-performance:cta_performance,bar,medium,llm,Performance compared across CTA button types
creative-performance:email_creative_performance,table,high,entity_type,
creative-performance:media_type_comparison,grouped_bar,medium,name:_comparison,
creative-performance:monthly_trend,line,medium,name:_trend,
creative-performance:top_ads_table,table,high,entity_type,
creative-performance:total_spend,kpi_card,high,entity_type,
cro:aov,kpi_card,high,entity_type,
cro:browser_conversion,table,high,entity_type,
cro:cart_abandonment,kpi_card,high,entity_type,
cro:cart_abandonment_trend,line,medium,name:_trend,
cro:channel_conversion,bar,medium,llm,Conversion rate compared across channels
cro:checkout_completion,kpi_card,high,entity_type,
cro:checkout_dropoff,funnel,high,llm,Checkout stage dropoff progression
cro:conversion_rate,kpi_card,high,entity_type,
cro:device_conversion,bar,medium,llm,Conversion rate compared across devices
cro:funnel,funnel,medium,name:funnel,
cro:landing_page_performance,table,high,entity_type,
cro:page_exit_analysis,table,high,entity_type,
cro:regional_conversion,table,high,entity_type,
cro:revenue,kpi_card,high,entity_type,
cro:rpu,kpi_card,high,entity_type,
cro:source_medium,table,high,entity_type,
cro:top_products,table,high,entity_type,
cro:weekly_trend,line,medium,name:_trend,
customer-acquisition:blended_cac,kpi_card,high,entity_type,
customer-acquisition:cac_efficiency,kpi_card,high,entity_type,
customer-acquisition:cac_trend,line,medium,name:_trend,
customer-acquisition:channel_breakdown,donut,medium,llm,Channel share composition of acquisition
customer-acquisition:customer_quality,table,high,entity_type,
customer-acquisition:first_purchase_aov,kpi_card,high,entity_type,
customer-acquisition:new_customer_trend,line,medium,name:_trend,
customer-acquisition:new_customers,kpi_card,high,entity_type,
customer-acquisition:platform_breakdown,donut,medium,llm,Platform share of new users
customer-acquisition:source_medium,table,high,entity_type,
customer-acquisition:top_campaigns,table,high,entity_type,
customer-feedback:avg-rating,kpi_card,high,entity_type,
customer-feedback:nps-score,kpi_card,high,entity_type,
customer-feedback:nps_by_segment,bar,medium,llm,NPS compared across customer segments
customer-feedback:nps_distribution,bar,medium,llm,Distribution of NPS scores across buckets
customer-feedback:nps_trend,line,medium,name:_trend,
customer-feedback:product_reviews,table,high,entity_type,
customer-feedback:promoter-percent,kpi_card,high,entity_type,
customer-feedback:rating_distribution,bar,high,llm,Histogram of 1-5 star ratings
customer-feedback:recent_feedback,table,high,entity_type,
customer-feedback:total-responses,kpi_card,high,entity_type,
customer-health:avg_health_score,kpi_card,high,entity_type,
customer-health:clv_at_risk,kpi_card,high,entity_type,
customer-health:clv_by_risk_tier,bar,high,llm,CLV compared across risk tier categories
customer-health:critical_risk_count,kpi_card,high,entity_type,
customer-health:customers_with_scores,kpi_card,high,entity_type,
customer-health:engagement_recency,bar,medium,llm,Distribution of engagement recency buckets
customer-health:expected_order_timing,bar,medium,llm,Distribution of expected order timing windows
customer-health:health_trend,line,medium,name:_trend,
customer-health:high_value_at_risk,table,high,entity_type,
customer-health:order_frequency_health,bar,medium,llm,Order frequency distribution across buckets
customer-health:regional_health,table,high,entity_type,
customer-health:risk_distribution,bar,medium,llm,Distribution across risk tiers
customer-journey:aov,kpi_card,high,entity_type,
customer-journey:attribution_model_comparison,grouped_bar,medium,name:_comparison,
customer-journey:campaign_performance,table,high,entity_type,
customer-journey:channel_attribution,bar,low,llm,Attributed value compared across channels
customer-journey:channel_revenue_trend,line,medium,name:_trend,
customer-journey:cohort_clv,line,medium,name:_trend,
customer-journey:conversion_funnel,funnel,medium,name:funnel,
customer-journey:conversion_rate,kpi_card,high,entity_type,
customer-journey:device_journey,donut,medium,llm,Device share as proportion of whole
customer-journey:engagement_rate,kpi_card,high,entity_type,
customer-journey:klaviyo_touchpoints,bar,low,llm,Comparing metric values across touchpoints
customer-journey:landing_pages,table,high,entity_type,
customer-journey:order_frequency,bar,high,llm,Order frequency histogram
customer-journey:revenue,kpi_card,high,entity_type,
customer-journey:sessions,kpi_card,high,entity_type,
customer-journey:source_medium_attribution,table,high,entity_type,
customer-journey:users,kpi_card,high,entity_type,
customer-ltv:aov_tiers,bar,high,llm,CLV compared across AOV tiers
customer-ltv:at_risk_value,kpi_card,high,entity_type,
customer-ltv:avg_clv,kpi_card,high,entity_type,
customer-ltv:channel_revenue,bar,medium,llm,Revenue compared across channels
customer-ltv:churn_risk,heatmap,medium,name:matrix,
customer-ltv:clv_tier_distribution,bar,high,llm,Distribution across CLV tiers
customer-ltv:cohort_clv,bar,medium,llm,CLV compared across acquisition cohorts
customer-ltv:customers_with_clv,kpi_card,high,entity_type,
customer-ltv:maturation_curve,line,medium,name:_curve,
customer-ltv:median_clv,kpi_card,high,entity_type,
customer-ltv:order_frequency,bar,high,llm,CLV compared across order-frequency buckets
customer-ltv:predicted_clv,kpi_card,high,entity_type,
customer-ltv:rfm_segments,bar,low,llm,Comparing RFM segment sizes
customer-ltv:state_clv,horizontal_bar,high,llm,"Top states ranked by CLV, long labels"
customer-ltv:top_customers,table,high,entity_type,
customer-ltv:total_clv,kpi_card,high,entity_type,
customer-overview:active_customers,kpi_card,high,entity_type,
customer-overview:cac_by_channel,bar,high,llm,CAC compared across channels
customer-overview:customer_growth,line,medium,name:_trend,
customer-overview:customer_health,gauge,low,llm,Overall customer health score 0-100
customer-overview:customer_segments,bar,medium,llm,Segments compared by LTV value
customer-overview:geographic_distribution,bar,medium,llm,Distribution across geographic regions
customer-overview:ltv_cac_trend,line,medium,name:_trend,
customer-overview:ltv_distribution,bar,high,llm,Histogram of LTV buckets
customer-overview:new_customers,kpi_card,high,entity_type,
customer-overview:purchase_frequency,bar,high,llm,Histogram of purchase frequency buckets
customer-overview:returning_customers,kpi_card,high,entity_type,
customer-overview:revenue_by_customer_type,grouped_bar,medium,name:vs_,
customer-overview:total_customers,kpi_card,high,entity_type,
customer-retention:avg_clv,kpi_card,high,entity_type,
customer-retention:avg_orders,kpi_card,high,entity_type,
customer-retention:churn_risk,donut,medium,llm,"Churn risk composition, proportion of whole"
customer-retention:cohort_retention,heatmap,high,llm,Cohort-by-month retention grid
customer-retention:days_between_orders,kpi_card,high,entity_type,
customer-retention:first_vs_repeat_revenue,grouped_bar,medium,name:vs_,
customer-retention:repeat_rate,kpi_card,high,entity_type,
customer-retention:retention_trend,line,medium,name:_trend,
customer-retention:time_between_purchases,bar,medium,llm,Histogram of days between purchases
customer-rfm:active_customers,kpi_card,high,entity_type,
customer-rfm:at_risk_customers,table,high,entity_type,
customer-rfm:avg_churn_risk,kpi_card,high,entity_type,
customer-rfm:avg_clv,kpi_card,high,entity_type,
customer-rfm:cohort_retention,table,high,entity_type,
customer-rfm:repeat_rate,kpi_card,high,entity_type,
customer-rfm:rfm_heatmap,heatmap,medium,name:heatmap,
customer-rfm:segment_distribution,bar,medium,llm,Distribution across many RFM segments
customer-rfm:segment_performance,table,high,entity_type,
customer-rfm:segment_trend,line,medium,name:_trend,
customer-rfm:total_clv,kpi_card,high,entity_type,
customer-rfm:total_customers,kpi_card,high,entity_type,
data-quality:anomaly_log,table,high,entity_type,
data-quality:avg_sync_lag,kpi_card,high,entity_type,
data-quality:completeness_chart,bar,medium,llm,Completeness percentage per field or source
data-quality:critical_anomalies,kpi_card,high,entity_type,
data-quality:daily_metrics_trend,line,medium,name:_trend,
data-quality:date_coverage_matrix,heatmap,medium,name:matrix,
data-quality:klaviyo_volume,line,medium,llm,Event volume monitored over time for data quality
data-quality:schema_coverage,table,high,entity_type,
data-quality:schema_health,kpi_card,high,entity_type,
data-quality:spend_comparison,grouped_bar,medium,name:_comparison,
data-quality:sync_status_table,table,high,entity_type,
data-quality:tables_monitored,kpi_card,high,entity_type,
email-campaigns:engagement_timeline,line,high,llm,Timeline implies engagement trend over time
email-campaigns:geographic_distribution,bar,medium,llm,Distribution across geographic regions compared as categories
email-campaigns:historical_comparison,table,high,entity_type,
email-campaigns:revenue_attribution,sankey,low,llm,Attribution of revenue across source paths
email-campaigns:segment_performance,bar,medium,llm,Compares performance metric across customer segments
email-flows:email_sequence_dropoff,funnel,high,llm,Sequential drop-off across email steps
email-flows:performance_by_position,bar,medium,llm,Compares performance across discrete email positions
email-flows:performance_trend,line,medium,name:_trend,
email-overview:campaign_vs_flow_performance,grouped_bar,medium,name:vs_,
email-overview:content_type_performance,bar,medium,llm,Compares performance across content type categories
email-overview:email_list_health,donut,low,llm,List composition by subscriber engagement state
email-overview:email_program_trend,line,medium,name:_trend,
email-overview:monthly_order_revenue,line,high,llm,Monthly revenue is a time series
funnel:aov,kpi_card,high,entity_type,
funnel:checkout_abandonment,table,high,entity_type,
funnel:conversion_funnel,funnel,medium,name:funnel,
funnel:conversion_rate,kpi_card,high,entity_type,
funnel:funnel_by_channel,funnel,medium,name:funnel,
funnel:funnel_by_device,funnel,medium,name:funnel,
funnel:funnel_by_geography,funnel,medium,name:funnel,
funnel:funnel_trend,funnel,medium,name:funnel,
funnel:purchase_reconciliation,kpi_card,high,entity_type,
funnel:stage_conversion_rates,funnel,high,llm,Conversion rates across funnel stages
funnel:total_revenue,kpi_card,high,entity_type,
google-overview:account_structure,table,high,entity_type,
google-overview:audience_summary,table,medium,llm,"Audience segment summary, multi-column overview"
google-overview:campaign_performance,table,high,entity_type,
google-overview:campaign_type_spend,bar,medium,llm,Spend compared across campaign types
google-overview:clicks,kpi_card,high,entity_type,
google-overview:conversions,kpi_card,high,entity_type,
google-overview:cpa,kpi_card,high,entity_type,
google-overview:daily_trend,line,medium,name:_trend,
google-overview:device_performance,bar,medium,llm,Compares performance across device categories
google-overview:impressions,kpi_card,high,entity_type,
google-overview:keyword_portfolio,scatter,low,llm,Portfolio positioning of keywords by two metrics
google-overview:network_performance,bar,medium,llm,Compares performance across ad networks
google-overview:quality_score,bar,high,llm,Distribution of quality scores across buckets
google-overview:roas,kpi_card,high,entity_type,
google-overview:rsa_strength,bar,low,llm,Ad strength rating breakdown across ordered tiers
google-overview:search_terms,table,high,entity_type,
google-overview:spend,kpi_card,high,entity_type,
google-overview:yearly_trend,line,medium,name:_trend,
google-pmax:audience_signals,table,high,entity_type,
google-pmax:campaign_spend_trend,line,medium,name:_trend,
google-pmax:campaign_table,table,high,entity_type,
google-pmax:conv_value,kpi_card,high,entity_type,
google-pmax:conversions,kpi_card,high,entity_type,
google-pmax:cpa,kpi_card,high,entity_type,
google-pmax:daily_trend,line,medium,name:_trend,
google-pmax:device_breakdown,donut,medium,llm,Breakdown implies device share of whole
google-pmax:dow_heatmap,heatmap,medium,name:heatmap,
google-pmax:performance_metrics,table,medium,llm,Multiple performance metrics shown as rows
google-pmax:roas,kpi_card,high,entity_type,
google-pmax:spend,kpi_card,high,entity_type,
google-search:ad_position,line,medium,name:_trend,
google-search:campaign_performance,table,high,entity_type,
google-search:device_performance,bar,medium,llm,Compares performance across device categories
google-search:kpi-search-clicks,kpi_card,high,entity_type,
google-search:kpi-search-conversions,kpi_card,high,entity_type,
google-search:kpi-search-quality-score,kpi_card,high,entity_type,
google-search:kpi-search-roas,kpi_card,high,entity_type,
google-search:kpi-search-spend,kpi_card,high,entity_type,
google-search:match_type,donut,medium,llm,Spend composition across few match types
google-search:negative_keywords,gauge,low,llm,Coverage percentage as single health metric
google-search:quality_score_distribution,bar,high,llm,Distribution histogram of quality score buckets
google-search:search_intent,bar,medium,llm,Distribution across search intent categories
google-search:search_terms,table,high,entity_type,
google-search:search_trend,line,medium,name:_trend,
google-search:top_keywords,table,high,entity_type,
google-shopping:active_campaigns,kpi_card,high,entity_type,
google-shopping:ad_group_performance,table,high,entity_type,
google-shopping:campaign_performance,table,high,entity_type,
google-shopping:campaign_spend_trend,line,medium,name:_trend,
google-shopping:device_performance,bar,medium,llm,Spend compared across device categories
google-shopping:listing_groups,table,high,entity_type,
google-shopping:revenue,kpi_card,high,entity_type,
google-shopping:roas,kpi_card,high,entity_type,
google-shopping:shopping_performance_metrics,table,medium,llm,Multiple performance metrics shown as rows
google-shopping:shopping_performance_trend,line,medium,name:_trend,
google-shopping:spend,kpi_card,high,entity_type,
