src,dst,lag,corr,granger_p,mi,discovery_score,stability,cond_corr,method,fdr_pass
meta.impressions,blended.conversion_value,2,-0.131,0.0017,,0.131,,PCMCI+,pcmci+,True
meta.impressions,meta.monthly_trend,1,0.118,0.0046,,0.118,,PCMCI+,pcmci+,True
meta.impressions,google.roas,1,-0.086,0.0402,,0.086,,PCMCI+,pcmci+,True
meta.impressions,meta.clicks,1,0.173,0.0,,0.173,,PCMCI+,pcmci+,True
google.ad_position,blended.active_campaigns,5,0.106,0.0107,,0.106,,PCMCI+,pcmci+,True
google.impressions,google.cpa,2,0.132,0.0014,,0.132,,PCMCI+,pcmci+,True
google.impressions,blended.conversions,3,0.089,0.0327,,0.089,,PCMCI+,pcmci+,True
google.impressions,google.roas,1,-0.144,0.0005,,0.144,,PCMCI+,pcmci+,True
google.impressions,google.daily_trend,6,-0.208,0.0,,0.208,,PCMCI+,pcmci+,True
google.impressions,google.clicks,6,-0.105,0.011,,0.105,,PCMCI+,pcmci+,True
google.shopping_performance,blended.mer,5,0.163,0.0001,,0.163,,PCMCI+,pcmci+,True
google.shopping_performance,google.revenue,1,0.165,0.0001,,0.165,,PCMCI+,pcmci+,True
google.shopping_performance,google.daily_trend,1,0.202,0.0,,0.202,,PCMCI+,pcmci+,True
blended.spend.sum,meta.impressions,5,-0.101,0.0152,,0.101,,PCMCI+,pcmci+,True
blended.spend.sum,meta.monthly_trend,5,-0.127,0.0023,,0.127,,PCMCI+,pcmci+,True
blended.spend.sum,store.price.avg,3,-0.092,0.0263,,0.092,,PCMCI+,pcmci+,True
blended.roas,blended.mer,2,0.112,0.0073,,0.112,,PCMCI+,pcmci+,True
blended.roas,blended.mer,4,-0.201,0.0,,0.201,,PCMCI+,pcmci+,True
blended.roas,blended.mer,5,-0.166,0.0001,,0.166,,PCMCI+,pcmci+,True
blended.audience_spend,meta.monthly_trend,1,0.18,0.0,,0.18,,PCMCI+,pcmci+,True
blended.audience_spend,google.ad_position,4,-0.105,0.0117,,0.105,,PCMCI+,pcmci+,True
blended.audience_spend,google.shopping_performance,5,-0.093,0.0263,,0.093,,PCMCI+,pcmci+,True
blended.audience_spend,blended.conversion.rate,5,-0.082,0.048,,0.082,,PCMCI+,pcmci+,True
blended.audience_spend,google.daily_trend,5,-0.155,0.0002,,0.155,,PCMCI+,pcmci+,True
blended.audience_spend,meta.clicks,5,-0.149,0.0003,,0.149,,PCMCI+,pcmci+,True
blended.audience_spend,google.search,6,-0.106,0.0107,,0.106,,PCMCI+,pcmci+,True
web.cart_abandonment,blended.aov,2,-0.167,0.0001,,0.167,,PCMCI+,pcmci+,True
web.cart_abandonment,blended.aov,7,0.138,0.0009,,0.138,,PCMCI+,pcmci+,True
web.cart_abandonment,ecom.aov,2,-0.138,0.0009,,0.138,,PCMCI+,pcmci+,True
web.cart_abandonment,store.conversion,2,-0.166,0.0001,,0.166,,PCMCI+,pcmci+,True
meta.reach,meta.impressions,1,0.455,0.0,,0.455,,PCMCI+,pcmci+,True
meta.reach,meta.impressions,2,-0.083,0.0456,,0.083,,PCMCI+,pcmci+,True
meta.reach,meta.impressions,5,-0.107,0.0099,,0.107,,PCMCI+,pcmci+,True
meta.daily_trend,meta.monthly_trend,1,0.274,0.0,,0.274,,PCMCI+,pcmci+,True
blended.active_campaigns,meta.impressions,2,-0.133,0.0013,,0.133,,PCMCI+,pcmci+,True
blended.active_campaigns,web.conversion.rate,1,0.222,0.0,,0.222,,PCMCI+,pcmci+,True
blended.active_campaigns,blended.aov,4,-0.128,0.002,,0.128,,PCMCI+,pcmci+,True
blended.active_campaigns,store.conversion,4,0.108,0.0091,,0.108,,PCMCI+,pcmci+,True
blended.active_campaigns,meta.clicks,2,-0.093,0.0256,,0.093,,PCMCI+,pcmci+,True
meta.clicks,meta.impressions,1,0.136,0.0011,,0.136,,PCMCI+,pcmci+,True
meta.clicks,google.revenue,6,-0.128,0.0021,,0.128,,PCMCI+,pcmci+,True
meta.cpm,google.cpa,5,0.1,0.0164,,0.1,,PCMCI+,pcmci+,True
meta.cpm,blended.aov,4,0.114,0.006,,0.114,,PCMCI+,pcmci+,True
meta.cpm,ecom.aov,4,0.101,0.0146,,0.101,,PCMCI+,pcmci+,True
google.clicks,google.impressions,1,0.157,0.0001,,0.157,,PCMCI+,pcmci+,True
google.clicks,google.shopping_performance,6,-0.185,0.0,,0.185,,PCMCI+,pcmci+,True
google.clicks,google.conversions,1,0.2,0.0,,0.2,,PCMCI+,pcmci+,True
google.clicks,google.conversions,6,-0.115,0.0055,,0.115,,PCMCI+,pcmci+,True
google.clicks,google.daily_trend,1,0.376,0.0,,0.376,,PCMCI+,pcmci+,True
google.clicks,google.search,1,0.147,0.0004,,0.147,,PCMCI+,pcmci+,True
klaviyo.engagement_rates,klaviyo.list_growth,3,-0.292,0.0158,,0.292,,PCMCI+,pcmci+,True
klaviyo.engagement_rates,klaviyo.sms,4,0.295,0.0138,,0.295,,PCMCI+,pcmci+,True
web.sessions,web.engagement.rate,3,-0.364,0.0019,,0.364,,PCMCI+,pcmci+,True
web.engagement.rate,web.bounce.rate,1,-0.31,0.0101,,0.31,,PCMCI+,pcmci+,True
klaviyo.list_growth,klaviyo.engagement_rates,1,-0.277,0.022,,0.277,,PCMCI+,pcmci+,True
klaviyo.list_growth,web.bounce.rate,3,0.311,0.0099,,0.311,,PCMCI+,pcmci+,True
web.bounce.rate,web.engagement.rate,1,-0.711,0.0,,0.711,,PCMCI+,pcmci+,True
web.users,web.engagement.rate,3,0.336,0.0044,,0.336,,PCMCI+,pcmci+,True
klaviyo.sms,web.sessions,4,-0.249,0.035,,0.249,,PCMCI+,pcmci+,True
klaviyo.sms,klaviyo.list_growth,4,0.264,0.0273,,0.264,,PCMCI+,pcmci+,True
klaviyo.sms,web.users,4,-0.251,0.0338,,0.251,,PCMCI+,pcmci+,True
